Account, Point of Sale,   Business Type,   Product,201701,201702,201703,201704,201705,201706,201707,201708,201709,201710,201711,201712
GP % of GB,Ebookers FR,Merchant,Flight,-7.749568%,-7.913639%,-7.128393%,-9.080933%,-9.447890%,-8.878780%,-7.385732%,-9.512966%,-9.635223%,-9.348456%,-9.781209%,-10.729012%
Revenue % of GB,Ebookers FR,Agency,Car,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
GP % of GB,Ebookers FR,Agency,Car,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
Revenue % of GB,Ebookers FR,Merchant,Car,17.744158%,16.843329%,17.914115%,18.044115%,17.814115%,17.734115%,17.784115%,17.874115%,17.714115%,17.794115%,17.834115%,17.834115%
GP % of GB,Ebookers FR,Merchant,Car,15.955797%,15.138578%,16.504102%,16.646403%,16.467287%,16.455993%,16.382646%,16.373145%,16.102067%,16.173152%,16.258723%,16.307239%
Revenue % of GB,Ebookers FR,Agency,Cruise,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
GP % of GB,Ebookers FR,Agency,Cruise,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
Revenue % of GB,Ebookers FR,Merchant,Hotel,18.999494%,18.442565%,18.848109%,18.788829%,18.735292%,18.662289%,18.578869%,18.548399%,18.604468%,18.614611%,18.469410%,18.525689%
GP % of GB,Ebookers FR,Merchant,Hotel,16.928212%,16.845838%,16.222046%,16.832400%,16.897609%,16.486655%,16.340812%,17.014428%,16.502451%,16.747529%,16.438357%,16.277957%
Revenue % of GB,Ebookers FR,Agency,Hotel,7.595950%,14.571169%,18.054176%,17.997929%,17.957264%,17.887435%,17.786122%,17.759359%,17.794632%,17.750394%,17.727927%,17.681353%
GP % of GB,Ebookers FR,Agency,Hotel,6.337078%,13.362383%,16.060998%,16.131152%,16.091681%,16.010580%,16.026590%,15.702155%,15.736283%,15.652545%,15.549453%,14.779045%
Revenue % of GB,Ebookers FR,Not Applicable,EPackage,10.664926%,10.108830%,11.081766%,11.496949%,11.872214%,11.282534%,10.690812%,10.637868%,10.739704%,9.794691%,10.267021%,10.137653%
GP % of GB,Ebookers FR,Not Applicable,EPackage,9.341760%,9.134003%,9.842141%,10.194222%,10.379790%,9.509174%,9.241442%,9.728920%,9.301791%,8.470811%,8.798390%,8.675061%
Revenue % of GB,Ebookers FR,Merchant,Tshop,21.225908%,20.545087%,21.195407%,20.954719%,20.768328%,20.477394%,20.072079%,20.243233%,20.518606%,20.960460%,21.113187%,21.443181%
GP % of GB,Ebookers FR,Merchant,Tshop,-17.448101%,-2.035253%,-13.774535%,-18.160466%,-11.167106%,-13.360678%,-17.158335%,-8.569701%,-10.703746%,-13.534420%,-12.946374%,-15.562385%
Revenue % of GB,Ebookers FR,Not Applicable,Insurance,0.000000%,0.000000%,58.290014%,0.000000%,49.932735%,49.932735%,49.932735%,49.932735%,49.932735%,49.932735%,49.932735%,49.932735%
Revenue % of GB,Ebookers FR,Merchant,Insurance,0.000000%,0.000000%,58.290014%,0.000000%,49.932735%,49.932735%,49.932735%,49.932735%,49.932735%,49.932735%,49.932735%,49.932735%
GP % of GB,Ebookers FR,Not Applicable,Insurance,0.000000%,0.000000%,57.531052%,0.000000%,49.122230%,49.142010%,49.058449%,49.067795%,49.090722%,49.083846%,49.107256%,49.071331%
GP % of GB,Ebookers FR,Merchant,Insurance,0.000000%,0.000000%,57.531052%,0.000000%,49.122230%,49.142010%,49.058449%,49.067795%,49.090722%,49.083846%,49.107256%,49.071331%
Revenue % of GB,Ebookers IE,Not Applicable,3P Package,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
GP % of GB,Ebookers IE,Not Applicable,3P Package,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
Revenue % of GB,Ebookers IE,Agency,Flight,4.991099%,4.593358%,6.190307%,5.716938%,3.642954%,4.404445%,4.409485%,3.971228%,4.425260%,3.892491%,3.713040%,5.550675%
GP % of GB,Ebookers IE,Agency,Flight,4.239763%,3.857317%,5.027868%,4.627201%,2.740526%,3.442694%,3.380421%,2.953253%,3.521839%,2.956388%,2.586682%,4.339836%
Revenue % of GB,Ebookers IE,Merchant,Flight,2.636996%,2.186350%,1.782227%,1.833028%,2.210195%,1.816275%,1.601863%,1.683078%,1.763969%,1.736043%,1.873575%,1.896562%
GP % of GB,Ebookers IE,Merchant,Flight,0.061834%,-0.136855%,-1.741520%,-1.664440%,-2.502255%,-1.721734%,-1.525263%,-1.736057%,-1.547942%,-1.690433%,-2.486783%,-2.496611%
Revenue % of GB,Ebookers IE,Agency,Car,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
GP % of GB,Ebookers IE,Agency,Car,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
Revenue % of GB,Ebookers IE,Merchant,Car,22.585557%,21.833425%,22.419092%,22.539092%,22.589092%,22.559092%,22.669092%,22.859092%,22.509092%,22.609092%,22.509092%,23.009092%
GP % of GB,Ebookers IE,Merchant,Car,21.751032%,21.117582%,21.324539%,21.418549%,21.509727%,21.441758%,21.592150%,21.660103%,21.363157%,21.378505%,21.241193%,21.701594%
Revenue % of GB,Ebookers IE,Agency,Cruise,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
GP % of GB,Ebookers IE,Agency,Cruise,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
Revenue % of GB,Ebookers IE,Merchant,Hotel,18.373784%,18.917011%,18.814936%,18.834406%,18.835225%,18.818413%,18.789480%,18.698959%,18.725968%,18.694779%,18.667711%,18.597714%
GP % of GB,Ebookers IE,Merchant,Hotel,17.398792%,18.170806%,17.735877%,17.782522%,17.942325%,17.984526%,17.891381%,17.928187%,17.976228%,17.979096%,17.962462%,17.314720%
Revenue % of GB,Ebookers IE,Agency,Hotel,5.995713%,13.398726%,18.895845%,18.814470%,18.787172%,18.739069%,18.666470%,18.626864%,18.600860%,18.522991%,18.474189%,18.449857%
GP % of GB,Ebookers IE,Agency,Hotel,5.553575%,12.780434%,18.090471%,18.026403%,18.004151%,17.898067%,17.947499%,17.799445%,17.834755%,17.621069%,17.577990%,17.176851%
Revenue % of GB,Ebookers IE,Not Applicable,EPackage,8.804164%,8.728911%,8.995746%,9.294875%,8.784050%,8.977311%,9.221027%,9.858946%,10.126900%,9.414394%,9.104787%,9.245738%
GP % of GB,Ebookers IE,Not Applicable,EPackage,8.078262%,8.159599%,8.197398%,8.515711%,8.106198%,8.316799%,8.563891%,9.333421%,9.502577%,8.746778%,8.374105%,8.160098%
Revenue % of GB,Ebookers IE,Merchant,Tshop,20.026201%,20.510451%,16.978803%,16.757936%,16.630626%,16.391468%,16.058255%,16.221536%,16.555377%,17.521753%,17.891855%,18.460764%
GP % of GB,Ebookers IE,Merchant,Tshop,5.704480%,10.303671%,7.353328%,5.835131%,6.969192%,5.774758%,5.394041%,6.009059%,7.162548%,6.677207%,6.542173%,8.112794%
Revenue % of GB,Ebookers IE,Not Applicable,Insurance,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,54.046660%,54.046660%,54.046660%,54.046660%,54.046660%,54.046660%,54.046660%
Revenue % of GB,Ebookers IE,Merchant,Insurance,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,54.046660%,54.046660%,54.046660%,54.046660%,54.046660%,54.046660%,54.046660%
GP % of GB,Ebookers IE,Not Applicable,Insurance,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,52.971365%,53.013186%,52.915338%,52.955422%,52.876594%,52.824997%,52.790388%
GP % of GB,Ebookers IE,Merchant,Insurance,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,52.971365%,53.013186%,52.915338%,52.955422%,52.876594%,52.824997%,52.790388%
Revenue % of GB,Mrjet SE,Not Applicable,3P Package,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
GP % of GB,Mrjet SE,Not Applicable,3P Package,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
Revenue % of GB,Mrjet SE,Agency,Flight,5.656823%,5.091899%,5.507495%,5.505952%,5.486393%,5.287076%,5.009714%,5.031453%,4.962904%,4.725214%,4.378043%,4.968326%
GP % of GB,Mrjet SE,Agency,Flight,5.302279%,4.631648%,3.760427%,3.317595%,2.852748%,2.869196%,2.374735%,2.677267%,2.769577%,2.390651%,2.068502%,2.206879%
Revenue % of GB,Mrjet SE,Merchant,Flight,3.237221%,2.059656%,2.836113%,2.840217%,2.844695%,2.718214%,2.680491%,2.876364%,2.787228%,2.660828%,2.701963%,2.805936%
GP % of GB,Mrjet SE,Merchant,Flight,-21.442759%,-13.963096%,-48.223046%,-59.201536%,-66.792201%,-57.731839%,-66.341587%,-71.018309%,-57.214114%,-52.295058%,-67.860927%,-76.290885%
Revenue % of GB,Mrjet SE,Agency,Car,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
GP % of GB,Mrjet SE,Agency,Car,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
Revenue % of GB,Mrjet SE,Merchant,Car,37.369890%,37.451219%,38.034961%,38.044961%,37.604961%,37.784961%,37.614961%,37.684961%,37.974961%,37.624961%,37.674961%,37.554961%
GP % of GB,Mrjet SE,Merchant,Car,36.461539%,36.551389%,36.117804%,36.062582%,35.617980%,35.715545%,35.470964%,35.528056%,36.067278%,35.499265%,35.420050%,35.431351%
Revenue % of GB,Mrjet SE,Agency,Cruise,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
GP % of GB,Mrjet SE,Agency,Cruise,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
Revenue % of GB,Mrjet SE,Merchant,Hotel,18.418066%,18.725329%,19.063217%,18.902651%,18.810956%,18.817489%,18.727473%,18.584256%,18.721679%,18.650332%,18.782033%,18.953674%
GP % of GB,Mrjet SE,Merchant,Hotel,17.983553%,18.164652%,16.870046%,16.632677%,16.265415%,15.900042%,15.648057%,15.691535%,16.634445%,16.644612%,17.001081%,16.414109%
Revenue % of GB,Mrjet SE,Agency,Hotel,10.341641%,21.239549%,16.426131%,16.361357%,16.315526%,16.296187%,16.186972%,16.114919%,16.081270%,15.944278%,15.860568%,15.872985%
GP % of GB,Mrjet SE,Agency,Hotel,9.905814%,20.561452%,13.884380%,13.729842%,13.431639%,13.096973%,12.820894%,12.906103%,14.358306%,13.761249%,13.358637%,12.637519%
Revenue % of GB,Mrjet SE,Not Applicable,EPackage,11.422929%,10.442250%,12.570777%,12.278682%,12.201590%,11.598523%,11.291253%,12.260481%,11.717573%,11.093825%,11.622524%,11.110820%
GP % of GB,Mrjet SE,Not Applicable,EPackage,10.976621%,9.901014%,11.254774%,11.038139%,10.893559%,10.238135%,9.912842%,10.854480%,10.357377%,9.694060%,10.219961%,9.401687%
Revenue % of GB,Mrjet SE,Merchant,Tshop,16.099083%,16.529236%,15.192030%,15.583298%,14.725797%,14.662794%,13.938759%,13.430497%,14.920624%,16.357218%,17.062761%,17.566666%
GP % of GB,Mrjet SE,Merchant,Tshop,11.467239%,13.226214%,0.625785%,2.083596%,0.859813%,-2.730315%,-3.215106%,-2.536317%,-0.593445%,0.671830%,2.204562%,3.419533%
Revenue % of GB,Mrjet SE,Not Applicable,Insurance,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
Revenue % of GB,Mrjet SE,Merchant,Insurance,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
GP % of GB,Mrjet SE,Not Applicable,Insurance,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
GP % of GB,Mrjet SE,Merchant,Insurance,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
Revenue % of GB,Expedia UK,Not Applicable,3P Package,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
GP % of GB,Expedia UK,Not Applicable,3P Package,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
Revenue % of GB,Expedia UK,Agency,Flight,3.118677%,2.836736%,2.495455%,2.241662%,2.255732%,2.512207%,2.171215%,2.061979%,2.518264%,2.189131%,2.164463%,2.769619%
GP % of GB,Expedia UK,Agency,Flight,1.798108%,1.201276%,0.982506%,0.474035%,0.559222%,0.817987%,0.538861%,0.325448%,0.605465%,0.396373%,0.292408%,0.533565%
Revenue % of GB,Expedia UK,Merchant,Flight,1.245356%,1.404132%,0.980402%,1.015917%,0.980442%,0.762432%,0.815543%,1.200849%,1.268186%,1.119266%,0.754542%,0.898953%
GP % of GB,Expedia UK,Merchant,Flight,0.069930%,-0.074315%,-0.421574%,-0.691809%,-0.463663%,-0.789307%,-0.792711%,-0.585736%,-0.482888%,-0.611607%,-0.887708%,-0.961746%
Revenue % of GB,Expedia UK,Agency,Car,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
GP % of GB,Expedia UK,Agency,Car,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
Revenue % of GB,Expedia UK,Merchant,Car,16.290793%,16.560201%,17.005157%,17.055157%,17.295157%,17.305157%,17.145157%,17.045157%,16.935157%,16.845157%,16.905157%,17.005157%
GP % of GB,Expedia UK,Merchant,Car,15.425526%,15.543596%,15.964817%,15.719995%,16.200027%,16.136403%,15.925805%,15.639212%,15.521974%,15.420880%,15.581183%,15.521980%
Revenue % of GB,Expedia UK,Agency,Cruise,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
GP % of GB,Expedia UK,Agency,Cruise,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
Revenue % of GB,Expedia UK,Merchant,Hotel,17.778545%,17.748432%,17.909691%,17.866041%,17.820059%,17.789881%,17.727680%,17.695386%,17.669407%,17.531191%,17.477509%,17.476991%
GP % of GB,Expedia UK,Merchant,Hotel,17.002221%,16.947594%,17.082421%,17.079369%,17.226086%,17.108714%,17.025873%,17.069117%,17.066952%,16.899474%,16.693078%,16.395488%
Revenue % of GB,Expedia UK,Agency,Hotel,6.562494%,10.527862%,17.501157%,17.472323%,17.441807%,17.410821%,17.406860%,17.311505%,17.328973%,17.217993%,17.339320%,17.324475%
GP % of GB,Expedia UK,Agency,Hotel,5.908269%,9.740129%,16.749268%,16.715421%,16.718535%,16.630132%,16.640471%,16.427800%,16.486087%,16.384455%,16.488452%,16.285506%
Revenue % of GB,Expedia UK,Not Applicable,EPackage,10.084967%,9.749634%,9.645014%,9.554538%,9.588958%,9.594304%,9.391468%,9.393270%,9.661137%,9.385781%,9.275386%,9.631957%
GP % of GB,Expedia UK,Not Applicable,EPackage,8.752379%,7.961634%,8.134403%,7.980529%,8.189822%,8.137842%,7.928602%,7.849215%,8.023928%,7.746290%,7.545191%,7.697364%
Revenue % of GB,Expedia UK,Merchant,Tshop,17.891048%,17.502039%,16.840315%,16.740371%,16.464126%,16.353367%,16.145955%,16.019317%,16.044638%,16.328725%,16.592693%,16.763781%
GP % of GB,Expedia UK,Merchant,Tshop,14.922895%,14.497374%,14.348815%,14.060795%,14.120410%,13.885011%,13.730877%,13.408579%,13.363769%,13.277726%,13.377908%,13.251043%
Revenue % of GB,Expedia UK,Not Applicable,Insurance,43.430896%,43.012655%,44.687512%,44.558059%,44.570162%,44.612889%,44.622590%,44.620644%,44.603890%,44.630212%,44.604014%,44.667178%
Revenue % of GB,Expedia UK,Merchant,Insurance,43.430896%,43.012655%,44.687512%,44.558059%,44.570162%,44.612889%,44.622590%,44.620644%,44.603890%,44.630212%,44.604014%,44.667178%
GP % of GB,Expedia UK,Not Applicable,Insurance,42.760283%,42.186932%,43.800577%,43.382806%,43.627992%,43.574029%,43.537641%,43.383727%,43.389658%,43.428755%,43.484949%,43.383935%
GP % of GB,Expedia UK,Merchant,Insurance,42.760283%,42.186932%,43.800577%,43.382806%,43.627992%,43.574029%,43.537641%,43.383727%,43.389658%,43.428755%,43.484949%,43.383935%
Revenue % of GB,Expedia DE,Not Applicable,3P Package,2.544981%,3.550170%,8.129159%,8.129159%,8.129159%,8.129159%,8.129159%,8.129159%,8.129159%,8.129159%,8.129159%,8.129159%
GP % of GB,Expedia DE,Not Applicable,3P Package,1.634734%,3.208057%,7.241048%,6.991582%,6.772256%,6.649740%,6.157446%,6.106852%,6.599375%,6.622956%,7.391802%,7.174124%
Revenue % of GB,Expedia DE,Agency,Flight,4.629845%,3.312304%,4.318322%,2.371054%,2.189299%,3.024265%,2.395248%,2.272902%,3.152708%,2.386354%,2.047624%,3.185544%
GP % of GB,Expedia DE,Agency,Flight,2.359450%,0.977593%,1.605937%,-0.826147%,-1.034755%,0.090117%,-0.641799%,-1.338762%,-0.652351%,-1.112937%,-1.469751%,-0.547572%
Revenue % of GB,Expedia DE,Merchant,Flight,1.988210%,1.763654%,1.555576%,1.546139%,1.261398%,0.761442%,0.672840%,1.055717%,1.006159%,0.731625%,0.824827%,0.571618%
GP % of GB,Expedia DE,Merchant,Flight,-0.378972%,-0.680793%,-0.995669%,-1.438891%,-1.692388%,-2.405926%,-2.515017%,-1.873333%,-1.716502%,-2.144255%,-1.893514%,-2.180401%
Revenue % of GB,Expedia DE,Agency,Car,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
GP % of GB,Expedia DE,Agency,Car,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
Revenue % of GB,Expedia DE,Merchant,Car,18.096715%,17.979658%,18.524810%,18.604810%,18.624810%,18.714810%,18.594810%,18.374810%,18.484810%,18.444810%,18.394810%,18.304810%
GP % of GB,Expedia DE,Merchant,Car,16.697826%,16.599471%,17.137030%,17.038628%,17.101357%,17.296486%,17.228712%,16.903888%,17.008213%,16.810115%,16.872700%,16.744858%
Revenue % of GB,Expedia DE,Agency,Cruise,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
GP % of GB,Expedia DE,Agency,Cruise,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
Revenue % of GB,Expedia DE,Merchant,Hotel,17.419694%,17.492055%,17.479205%,17.441239%,17.422590%,17.385404%,17.366961%,17.353382%,17.275104%,17.114738%,17.001386%,16.982487%
GP % of GB,Expedia DE,Merchant,Hotel,16.401587%,16.401019%,16.502765%,16.513103%,16.738696%,16.477649%,16.432085%,16.639568%,16.555701%,16.457638%,16.059750%,15.764494%
Revenue % of GB,Expedia DE,Agency,Hotel,6.707526%,7.699565%,17.802141%,17.759570%,17.677166%,17.682263%,17.598134%,17.541027%,17.488357%,17.445754%,17.393225%,17.459455%
GP % of GB,Expedia DE,Agency,Hotel,5.788951%,6.803491%,16.987323%,16.762103%,16.597021%,16.601458%,16.637571%,16.580976%,16.429657%,16.293237%,16.337944%,16.317825%
Revenue % of GB,Expedia DE,Not Applicable,EPackage,10.849617%,10.362552%,10.701457%,10.429238%,10.439402%,10.704508%,10.620071%,10.514755%,10.454548%,10.144378%,10.167026%,10.315441%
GP % of GB,Expedia DE,Not Applicable,EPackage,9.674401%,9.013880%,9.306362%,8.981929%,9.066133%,9.291144%,9.222668%,9.267605%,9.187342%,8.930839%,8.734806%,8.750585%
Revenue % of GB,Expedia DE,Merchant,Tshop,18.776988%,18.820331%,19.109463%,18.874176%,18.565404%,18.332350%,17.884995%,17.641379%,17.458034%,17.480985%,17.541353%,17.482187%
GP % of GB,Expedia DE,Merchant,Tshop,15.006483%,15.640130%,16.657075%,15.969646%,15.898361%,15.155997%,14.992333%,15.170670%,14.977680%,14.761826%,14.599715%,14.723311%
Revenue % of GB,Expedia DE,Not Applicable,Insurance,38.314262%,48.556555%,44.073535%,43.909751%,43.930527%,43.900036%,43.762063%,43.968675%,44.060136%,43.999002%,44.022195%,43.810644%
Revenue % of GB,Expedia DE,Merchant,Insurance,38.314262%,48.556555%,44.073535%,43.909751%,43.930527%,43.900036%,43.762063%,43.968675%,44.060136%,43.999002%,44.022195%,43.810644%
GP % of GB,Expedia DE,Not Applicable,Insurance,37.861627%,48.037516%,43.334359%,43.041167%,43.073696%,43.119323%,43.035498%,43.161546%,43.258673%,43.104458%,43.241423%,42.999572%
GP % of GB,Expedia DE,Merchant,Insurance,37.861627%,48.037516%,43.334359%,43.041167%,43.073696%,43.119323%,43.035498%,43.161546%,43.258673%,43.104458%,43.241423%,42.999572%
Revenue % of GB,Expedia IT,Not Applicable,3P Package,0.557161%,0.069676%,5.000000%,5.000000%,5.000000%,5.000000%,5.000000%,5.000000%,5.000000%,5.000000%,5.000000%,5.000000%
GP % of GB,Expedia IT,Not Applicable,3P Package,0.557161%,0.069676%,5.000000%,5.000000%,5.000000%,5.000000%,5.000000%,5.000000%,5.000000%,5.000000%,5.000000%,5.000000%
Revenue % of GB,Expedia IT,Agency,Flight,2.612307%,3.522931%,2.851337%,2.630494%,2.474708%,2.733322%,3.725502%,2.416602%,2.795233%,2.595607%,2.478494%,2.648537%
GP % of GB,Expedia IT,Agency,Flight,0.400766%,1.272150%,0.872173%,0.522424%,0.613683%,0.737337%,1.516706%,-0.327747%,0.334083%,0.348682%,0.228409%,0.240732%
Revenue % of GB,Expedia IT,Merchant,Flight,-0.672577%,-0.374037%,1.586749%,2.250718%,1.832602%,1.385064%,2.027215%,2.103430%,1.837608%,1.395606%,1.903380%,1.441748%
GP % of GB,Expedia IT,Merchant,Flight,-4.685167%,-2.979206%,-1.446809%,-1.758003%,-1.476709%,-1.812172%,-2.109988%,-3.890529%,-2.124202%,-2.068709%,-1.767337%,-2.853910%
Revenue % of GB,Expedia IT,Agency,Car,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
GP % of GB,Expedia IT,Agency,Car,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
Revenue % of GB,Expedia IT,Merchant,Car,16.982932%,16.416042%,17.524712%,18.004712%,18.344712%,18.114712%,17.624712%,16.984712%,16.844712%,17.094712%,17.314712%,16.994712%
GP % of GB,Expedia IT,Merchant,Car,13.489743%,13.758101%,15.082984%,15.408505%,16.314293%,15.985016%,15.645025%,13.453201%,13.889955%,14.019942%,14.431809%,13.793534%
Revenue % of GB,Expedia IT,Agency,Cruise,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
GP % of GB,Expedia IT,Agency,Cruise,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
Revenue % of GB,Expedia IT,Merchant,Hotel,18.368822%,18.406599%,18.050076%,18.072816%,18.113130%,18.164852%,18.152940%,18.098204%,17.855070%,17.733648%,17.657171%,17.693928%
GP % of GB,Expedia IT,Merchant,Hotel,17.326107%,17.232070%,16.991686%,16.906167%,17.011336%,17.098416%,17.066932%,17.190732%,16.863245%,16.719713%,16.613705%,16.379829%
Revenue % of GB,Expedia IT,Agency,Hotel,11.437454%,7.350262%,17.755636%,17.808341%,17.864486%,17.857558%,17.781514%,17.531345%,17.282868%,17.428054%,17.372865%,17.404616%
GP % of GB,Expedia IT,Agency,Hotel,10.197365%,6.294584%,16.857505%,16.780740%,16.933758%,16.907504%,16.810402%,16.236567%,16.050874%,16.252100%,16.250943%,15.904038%
Revenue % of GB,Expedia IT,Not Applicable,EPackage,9.424787%,9.331204%,9.370662%,9.294808%,9.302061%,9.453394%,9.444574%,9.038671%,9.103277%,8.833313%,8.548225%,8.241379%
GP % of GB,Expedia IT,Not Applicable,EPackage,7.541082%,7.522344%,7.625393%,7.542026%,7.654763%,7.888769%,7.874870%,7.094282%,7.074538%,6.971286%,6.791562%,6.255104%
Revenue % of GB,Expedia IT,Merchant,Tshop,19.234663%,19.187181%,20.302917%,20.029779%,19.686765%,19.358306%,19.034982%,18.654051%,18.581800%,18.509589%,18.694058%,18.651647%
GP % of GB,Expedia IT,Merchant,Tshop,12.464522%,13.957208%,16.211468%,15.889659%,16.148358%,15.661313%,15.725210%,14.557897%,14.967764%,15.317234%,15.684515%,15.527151%
Revenue % of GB,Expedia IT,Not Applicable,Insurance,38.688218%,38.621445%,39.287699%,39.287699%,39.287699%,39.287699%,39.287699%,39.287699%,39.287699%,39.287699%,39.287699%,39.287699%
Revenue % of GB,Expedia IT,Merchant,Insurance,38.688218%,38.621445%,39.287699%,39.287699%,39.287699%,39.287699%,39.287699%,39.287699%,39.287699%,39.287699%,39.287699%,39.287699%
GP % of GB,Expedia IT,Not Applicable,Insurance,37.625968%,37.921781%,38.495611%,38.209471%,38.396386%,38.324089%,38.310885%,37.100173%,38.157863%,38.211387%,38.306093%,37.857525%
GP % of GB,Expedia IT,Merchant,Insurance,37.625968%,37.921781%,38.495611%,38.209471%,38.396386%,38.324089%,38.310885%,37.100173%,38.157863%,38.211387%,38.306093%,37.857525%
Revenue % of GB,Expedia FR,Not Applicable,3P Package,0.988635%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
GP % of GB,Expedia FR,Not Applicable,3P Package,0.988635%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
Revenue % of GB,Expedia FR,Agency,Flight,2.489189%,2.856476%,2.449255%,2.227477%,2.338324%,2.195673%,2.410346%,2.066557%,2.395808%,2.218090%,2.271857%,2.323055%
