Account, Point of Sale,   Business Type,   Product,201701,201702,201703,201704,201705,201706,201707,201708,201709,201710,201711,201712
GP % of GB,Airasiago CN,Agency,Car,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
Revenue % of GB,Airasiago CN,Merchant,Car,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
GP % of GB,Airasiago CN,Merchant,Car,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
Revenue % of GB,Airasiago CN,Agency,Cruise,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
GP % of GB,Airasiago CN,Agency,Cruise,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
Revenue % of GB,Airasiago CN,Merchant,Hotel,13.044206%,15.023443%,13.781750%,13.597514%,13.528047%,13.478587%,13.406063%,13.223093%,13.109847%,13.310236%,13.490519%,13.172175%
GP % of GB,Airasiago CN,Merchant,Hotel,9.489696%,11.468933%,10.227239%,10.043003%,9.973536%,9.924077%,9.851553%,9.668582%,9.555336%,9.755725%,9.936008%,9.617664%
Revenue % of GB,Airasiago CN,Agency,Hotel,23.509234%,187.900350%,17.846636%,17.844404%,18.258407%,17.816444%,18.269440%,16.541681%,17.859894%,17.858215%,17.858207%,17.616261%
GP % of GB,Airasiago CN,Agency,Hotel,22.519847%,186.910963%,16.857249%,16.855017%,17.269020%,16.827057%,17.280053%,15.552294%,16.870507%,16.868828%,16.868820%,16.626874%
Revenue % of GB,Airasiago CN,Not Applicable,EPackage,5.919662%,5.741623%,7.386078%,5.800837%,6.319899%,6.280969%,6.276803%,6.141421%,7.017515%,7.427062%,6.422894%,6.221427%
GP % of GB,Airasiago CN,Not Applicable,EPackage,3.359442%,3.181403%,4.825857%,3.240617%,3.759678%,3.720749%,3.716583%,3.581200%,4.457295%,4.866841%,3.862674%,3.661206%
Revenue % of GB,Airasiago CN,Merchant,Tshop,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
GP % of GB,Airasiago CN,Merchant,Tshop,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
Revenue % of GB,Airasiago CN,Not Applicable,Insurance,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
Revenue % of GB,Airasiago CN,Merchant,Insurance,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
GP % of GB,Airasiago CN,Not Applicable,Insurance,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
GP % of GB,Airasiago CN,Merchant,Insurance,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
Revenue % of GB,Airasiago HK,Not Applicable,3P Package,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
GP % of GB,Airasiago HK,Not Applicable,3P Package,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
Revenue % of GB,Airasiago HK,Agency,Flight,-0.272610%,-0.272610%,7.270004%,0.915203%,0.749812%,4.911732%,0.772619%,0.734960%,7.136471%,0.625849%,0.756040%,11.461357%
GP % of GB,Airasiago HK,Agency,Flight,-1.665630%,-1.665630%,5.876984%,-0.477817%,-0.643208%,3.518712%,-0.620401%,-0.658060%,5.743451%,-0.767171%,-0.636980%,10.068337%
Revenue % of GB,Airasiago HK,Merchant,Flight,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
GP % of GB,Airasiago HK,Merchant,Flight,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
Revenue % of GB,Airasiago HK,Agency,Car,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
GP % of GB,Airasiago HK,Agency,Car,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
Revenue % of GB,Airasiago HK,Merchant,Car,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
GP % of GB,Airasiago HK,Merchant,Car,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
Revenue % of GB,Airasiago HK,Agency,Cruise,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
GP % of GB,Airasiago HK,Agency,Cruise,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
Revenue % of GB,Airasiago HK,Merchant,Hotel,10.310866%,10.923983%,14.830852%,14.700821%,14.715940%,14.712671%,14.702647%,14.682460%,14.658747%,14.612821%,14.692082%,14.519030%
GP % of GB,Airasiago HK,Merchant,Hotel,7.850577%,8.463694%,12.370564%,12.240532%,12.255651%,12.252382%,12.242358%,12.222171%,12.198458%,12.152532%,12.231793%,12.058741%
Revenue % of GB,Airasiago HK,Agency,Hotel,11.349938%,18.352951%,14.704706%,14.653719%,14.622256%,15.101300%,14.519625%,14.700003%,15.113877%,14.594374%,14.871690%,14.867573%
GP % of GB,Airasiago HK,Agency,Hotel,10.511833%,17.514846%,13.866601%,13.815614%,13.784151%,14.263195%,13.681520%,13.861898%,14.275772%,13.756269%,14.033585%,14.029468%
Revenue % of GB,Airasiago HK,Not Applicable,EPackage,3.441858%,3.191208%,4.496486%,4.154991%,4.131238%,4.017958%,4.030814%,4.246168%,4.839104%,4.666849%,4.432910%,4.926026%
GP % of GB,Airasiago HK,Not Applicable,EPackage,2.089843%,1.839193%,3.144471%,2.802976%,2.779223%,2.665943%,2.678799%,2.894153%,3.487089%,3.314834%,3.080895%,3.574011%
